,S1,S2,S3,S4,S5
T1,0.1998560598558483,0.20024828963611058,0.19932983800027454,0.20023078492406413,0.20033502758370247
T2,0.19952450748451186,0.2001267112594564,0.2006705026147854,0.1997420338304647,0.19993624481078148
T3,0.19764585516810165,0.19801942936353967,0.19928433583145186,0.20244758963865853,0.20260278999824846
T4,0.20058217185438457,0.20026145454882174,0.2018599986849171,0.19866509538196878,0.19863127952990783
T5,0.19905169572129042,0.20162907731527988,0.20128683386688337,0.19901565468046123,0.19901673841608516
T6,0.19898509432309744,0.20164882043442642,0.20085354967547606,0.19977671180832512,0.19873582375867502
T7,0.19968885646617876,0.19808707300835357,0.19947720663023677,0.2005587612250675,0.2021881026701634
T8,0.20073564463981675,0.20160435938632387,0.2016803958002183,0.19780775242592302,0.19817184774771812
T9,0.20225792156185482,0.1998861000847573,0.20036201609008092,0.198764323836311,0.19872963842699598
T10,0.19934323818585412,0.2008852110593377,0.19856856829601288,0.20127113621828346,0.19993184624051183
